iter	RMSE
0	14.30178063
1	13.0946256
2	12.25304262
3	11.66650838
4	11.05223316
5	10.6022593
6	10.2090688
7	9.87535214
8	9.543414466
9	9.336245108
10	9.128492013
11	8.977470985
12	8.876036408
13	8.74270897
14	8.627970469
15	8.479225908
16	8.381570967
17	8.28540498
18	8.194375949
19	8.104190502
20	8.037126197
21	7.985730045
22	7.943003168
23	7.875506078
24	7.817471334
25	7.773718983
26	7.731472991
27	7.683211138
28	7.641435057
29	7.602193982
30	7.582263362
31	7.549830598
32	7.503916497
33	7.433936068
34	7.402755463
35	7.376475108
36	7.325846729
37	7.292886257
38	7.242180721
39	7.187542888
40	7.150419709
41	7.116165021
42	7.091278334
43	7.064683473
44	7.02091786
45	6.972826303
46	6.941541398
47	6.901925632
48	6.869196908
49	6.810771202
50	6.762922526
51	6.745202287
52	6.702699166
53	6.67869022
54	6.645640062
55	6.617756448
56	6.607479909
57	6.586842248
58	6.565975403
59	6.529218245
60	6.482658567
61	6.44655972
62	6.435558354
63	6.397632915
64	6.377904014
65	6.36798615
66	6.341674559
67	6.306755972
68	6.28489177
69	6.259373149
70	6.213330025
71	6.169121693
72	6.151026553
73	6.117021241
74	6.096321387
75	6.083569895
76	6.048778975
77	6.00771445
78	5.992364133
79	5.958120286
80	5.939331886
81	5.913336215
82	5.888968358
83	5.869946167
84	5.847409658
85	5.833904815
86	5.817904422
87	5.802422649
88	5.784087132
89	5.75690511
90	5.746651328
91	5.741667757
92	5.708311732
93	5.677522025
94	5.637056633
95	5.60479813
96	5.596658162
97	5.570024403
98	5.551637732
99	5.528228125
100	5.498155141
101	5.483462312
102	5.474396901
103	5.461768847
104	5.438026136
