iter	Passed	Remaining
0	2	248
1	4	216
2	6	207
3	7	200
4	9	197
5	11	195
6	13	193
7	15	190
8	17	186
9	19	183
10	21	182
11	23	179
12	24	176
13	26	174
14	28	171
15	30	169
16	32	167
17	34	164
18	36	163
19	37	160
20	39	158
21	41	156
22	43	154
23	45	152
24	47	150
25	48	148
26	50	146
27	52	144
28	54	141
29	55	139
30	57	137
31	59	135
32	61	133
33	62	131
34	64	129
35	66	127
36	68	125
37	70	123
38	72	121
39	74	120
40	76	118
41	77	116
42	79	114
43	81	112
44	83	110
45	85	109
46	86	107
47	88	105
48	90	103
49	91	100
50	93	99
51	95	97
52	96	95
53	98	93
54	100	91
55	102	89
56	103	87
57	105	85
58	107	83
59	108	81
60	110	79
61	112	77
62	114	76
63	115	74
64	117	72
65	119	70
66	121	68
67	122	66
68	124	65
69	126	63
70	128	61
71	130	59
72	132	58
73	134	56
74	135	54
75	137	52
76	138	50
77	140	48
78	142	46
79	144	45
80	146	43
81	147	41
82	150	39
83	153	38
84	155	36
85	157	34
86	160	33
87	162	31
88	163	29
89	165	27
90	167	25
91	169	23
92	171	22
93	173	20
94	176	18
95	179	16
96	181	14
97	183	13
98	185	11
99	187	9
100	189	7
101	191	5
102	193	3
103	195	1
104	197	0
